#WAVELENGTH FLUX
1.420116071809548885e+03 1.484991997749103077e-15
1.420195798516739160e+03 1.508662737124263426e-15
1.420275525223463774e+03 1.665864984703507916e-15
1.420355251930188388e+03 1.646862813000927453e-15
1.420434978637378663e+03 1.871856707238959429e-15
1.420514705344103277e+03 1.601959095072804631e-15
1.420594432050827891e+03 1.535153765341535574e-15
1.420674158757552505e+03 1.330148068566026871e-15
1.420753885464742780e+03 1.060765545076031293e-15
1.420833612171467394e+03 1.240479996099384162e-15
1.420913338878192008e+03 7.613397621811056467e-16
1.420993065584916621e+03 1.400062260676625427e-15
1.421072792292106897e+03 1.446375699509330520e-15
1.421152518998831511e+03 1.605201199705204171e-15
1.421232245705556124e+03 1.373456942568478052e-15
1.421311972412746400e+03 1.588205424061542531e-15
1.421391699119471014e+03 1.256852679748666758e-15
1.421471425826195627e+03 1.054204838148183309e-15
1.421551152532920241e+03 1.214480961675568755e-15
1.421630879240110517e+03 1.505524089625437118e-15
1.421710605946835130e+03 1.363959347419372794e-15
1.421790332653559744e+03 1.511917719304439192e-15
1.421870059360284358e+03 1.218137583056530868e-15
1.421949786067474633e+03 6.487308958708500086e-16
1.422029512774199247e+03 1.505993962127772353e-16
1.422109239480923861e+03 1.546236402326053718e-16
1.422188966188114136e+03 3.348183680360381672e-17
1.422268692894838750e+03 1.125245881863650604e-17
1.422348419601097703e+03 5.932990869767676554e-17
1.422428146308287978e+03 5.624955137584615079e-17
1.422507873015012592e+03 2.887670354424909138e-17
1.422587599721737206e+03 7.091677885358529078e-18
1.422667326428461820e+03 6.482927134849622932e-18
1.422747053135652095e+03 3.255949898774391385e-17
1.422826779842376709e+03 3.594009971087412616e-17
1.422906506549101323e+03 1.262490220852861674e-16
1.422986233256291598e+03 7.756080975248727276e-17
1.423065959963016212e+03 3.411315883148745733e-17
1.423145686669740826e+03 1.019288789276420750e-16
1.423225413376465440e+03 7.250952653814859880e-16
1.423305140083655715e+03 7.703754232802143416e-16
1.423384866790380329e+03 1.210297538740973670e-15
1.423464593497104943e+03 1.489022709907731072e-15
1.423544320203829557e+03 1.742923297536710556e-15
1.423624046911019832e+03 1.627833675210377761e-15
1.423703773617744446e+03 1.697952571361526039e-15
1.423783500324469060e+03 1.627346393037690123e-15
1.423863227031659335e+03 1.673154570099913126e-15
1.423942953738383949e+03 1.721609692035081315e-15
1.424022680445108563e+03 1.185903492785862252e-15
1.424102407151833177e+03 1.185777979708435906e-15
1.424182133859023452e+03 8.154814211961017991e-16
