#WAVELENGTH FLUX
1.288183320738629845e+03 0.000000000000000000e+00
1.288193286576985429e+03 0.000000000000000000e+00
1.288203252415341240e+03 0.000000000000000000e+00
1.288213218253696823e+03 0.000000000000000000e+00
1.288223184092052406e+03 0.000000000000000000e+00
1.288233149930407990e+03 0.000000000000000000e+00
1.288243115768763801e+03 0.000000000000000000e+00
1.288253081607119384e+03 0.000000000000000000e+00
1.288263047445474967e+03 0.000000000000000000e+00
1.288273013283830551e+03 0.000000000000000000e+00
1.288282979122186362e+03 0.000000000000000000e+00
1.288292944960541945e+03 0.000000000000000000e+00
1.288302910798897528e+03 0.000000000000000000e+00
1.288312876637253112e+03 0.000000000000000000e+00
1.288322842475608923e+03 0.000000000000000000e+00
1.288332808313964506e+03 0.000000000000000000e+00
1.288342774152320089e+03 0.000000000000000000e+00
1.288352739990675673e+03 0.000000000000000000e+00
1.288362705829031484e+03 0.000000000000000000e+00
1.288372671667387067e+03 0.000000000000000000e+00
1.288382637505742650e+03 0.000000000000000000e+00
1.288392603344098234e+03 0.000000000000000000e+00
1.288402569182454044e+03 0.000000000000000000e+00
1.288412535020809628e+03 0.000000000000000000e+00
1.288422500859165211e+03 0.000000000000000000e+00
1.288432466697520795e+03 0.000000000000000000e+00
1.288442432535876605e+03 0.000000000000000000e+00
1.288452398374232189e+03 0.000000000000000000e+00
1.288462364212587772e+03 0.000000000000000000e+00
1.288472330050943356e+03 0.000000000000000000e+00
1.288482295889299166e+03 0.000000000000000000e+00
1.288492261727654750e+03 0.000000000000000000e+00
1.288502227566010333e+03 0.000000000000000000e+00
1.288512193404365917e+03 0.000000000000000000e+00
1.288522159242721727e+03 0.000000000000000000e+00
1.288532125081077311e+03 0.000000000000000000e+00
1.288542090919432894e+03 0.000000000000000000e+00
1.288552056757788478e+03 0.000000000000000000e+00
1.288562022596144288e+03 0.000000000000000000e+00
1.288571988434499872e+03 0.000000000000000000e+00
1.288581954272855455e+03 0.000000000000000000e+00
1.288591920111211039e+03 0.000000000000000000e+00
1.288601885949566849e+03 0.000000000000000000e+00
1.288611851787922433e+03 0.000000000000000000e+00
1.288621817626278016e+03 0.000000000000000000e+00
1.288631783464633600e+03 0.000000000000000000e+00
1.288641749302989410e+03 0.000000000000000000e+00
1.288651715141344994e+03 0.000000000000000000e+00
1.288661680979700577e+03 0.000000000000000000e+00
1.288671646818056161e+03 0.000000000000000000e+00
1.288681612656411971e+03 0.000000000000000000e+00
1.288691578494767555e+03 0.000000000000000000e+00
1.288701544333123138e+03 0.000000000000000000e+00
1.288711510171478722e+03 0.000000000000000000e+00
1.288721476009834532e+03 0.000000000000000000e+00
1.288731441848190116e+03 0.000000000000000000e+00
1.288741407686545699e+03 0.000000000000000000e+00
1.288751373524901283e+03 0.000000000000000000e+00
1.288761339363257093e+03 0.000000000000000000e+00
1.288771305201612677e+03 0.000000000000000000e+00
1.288781271039968260e+03 0.000000000000000000e+00
1.288791236878323843e+03 0.000000000000000000e+00
1.288801202716679654e+03 0.000000000000000000e+00
1.288811168555035238e+03 0.000000000000000000e+00
1.288821134393390821e+03 0.000000000000000000e+00
1.288831100231746404e+03 0.000000000000000000e+00
1.288841066070102215e+03 0.000000000000000000e+00
1.288851031908457799e+03 0.000000000000000000e+00
1.288860997746813382e+03 0.000000000000000000e+00
1.288870963585168965e+03 0.000000000000000000e+00
1.288880929423524776e+03 0.000000000000000000e+00
1.288890895261880360e+03 0.000000000000000000e+00
1.288900861100235943e+03 0.000000000000000000e+00
1.288910826938591526e+03 0.000000000000000000e+00
1.288920792776947337e+03 0.000000000000000000e+00
1.288930758615302921e+03 0.000000000000000000e+00
1.288940724453658504e+03 0.000000000000000000e+00
1.288950690292014087e+03 0.000000000000000000e+00
1.288960656130369898e+03 0.000000000000000000e+00
1.288970621968725482e+03 0.000000000000000000e+00
1.288980587807081065e+03 0.000000000000000000e+00
1.288990553645436648e+03 0.000000000000000000e+00
1.289000519483792459e+03 0.000000000000000000e+00
1.289010485322148043e+03 0.000000000000000000e+00
1.289020451160503626e+03 0.000000000000000000e+00
1.289030416998859209e+03 0.000000000000000000e+00
1.289040382837215020e+03 0.000000000000000000e+00
1.289050348675570604e+03 0.000000000000000000e+00
1.289060314513926187e+03 0.000000000000000000e+00
1.289070280352281770e+03 0.000000000000000000e+00
1.289080246190637581e+03 0.000000000000000000e+00
1.289090212028993164e+03 0.000000000000000000e+00
1.289100177867348748e+03 0.000000000000000000e+00
1.289110143705704331e+03 0.000000000000000000e+00
1.289120109544060142e+03 0.000000000000000000e+00
1.289130075382415725e+03 0.000000000000000000e+00
1.289140041220771309e+03 0.000000000000000000e+00
1.289150007059126892e+03 0.000000000000000000e+00
